ERROR 2024-03-04 13:49:10,246  101 The field 'organization_id' was declared on serializer CreateQuizSerializer, but has not been included in the 'fields' option.
ERROR 2024-03-04 13:49:45,566  101 The field 'organization_id' was declared on serializer CreateQuizSerializer, but has not been included in the 'fields' option.
ERROR 2024-03-04 15:16:35,049  160 Invalid field name(tt) pass.
ERROR | 2024-03-06 14:13:19,292| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'QuizQuestions' object has no attribute 'order'
ERROR | 2024-03-06 14:17:28,819| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: filter_queryset | line_no: 63 | str(e)
ERROR | 2024-03-06 14:17:28,819| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: filter_queryset | line_no: 69 | str(e)
ERROR | 2024-03-06 19:14:18,908| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 
ERROR | 2024-03-06 19:14:21,211| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 
ERROR | 2024-03-06 19:14:24,440| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 
ERROR | 2024-03-07 10:10:34,641| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: __call__ | line_no: 29 | Invalid URL.
ERROR | 2024-03-07 10:10:41,443| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: __call__ | line_no: 29 | Invalid URL.
ERROR | 2024-03-07 14:53:05,274| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: filter_queryset | line_no: 66 | str(e)
ERROR | 2024-03-07 14:53:05,274| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: filter_queryset | line_no: 72 | str(e)
ERROR | 2024-03-07 14:54:10,257| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: filter_queryset | line_no: 66 | str(e)
ERROR | 2024-03-07 14:54:10,257| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: filter_queryset | line_no: 72 | str(e)
ERROR | 2024-03-07 14:57:20,945| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 
ERROR | 2024-03-07 17:04:58,013| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'list' object has no attribute 'items'
ERROR | 2024-03-07 17:05:23,714| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'list' object has no attribute 'items'
ERROR | 2024-03-07 17:06:28,984| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'list' object has no attribute 'items'
ERROR | 2024-03-07 17:07:43,256| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'list' object has no attribute 'items'
ERROR | 2024-03-07 17:09:47,579| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'correct_answer'
ERROR | 2024-03-07 17:13:15,084| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'correct_answer'
ERROR | 2024-03-07 17:13:54,366| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'correct_answer'
ERROR | 2024-03-07 17:15:33,844| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'correct_answer'
ERROR | 2024-03-07 17:27:55,878| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'dict' object has no attribute 'appen'
ERROR | 2024-03-07 17:28:40,640| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'dict' object has no attribute 'append'
ERROR | 2024-03-07 17:29:35,631| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'dict' object has no attribute 'append'
ERROR | 2024-03-07 17:33:02,072| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'dict' object has no attribute 'append'
ERROR | 2024-03-07 18:07:45,841| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'NoneType' object has no attribute 'strip'
ERROR | 2024-03-07 18:08:22,578| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'NoneType' object has no attribute 'strip'
ERROR | 2024-03-07 18:08:55,121| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'NoneType' object has no attribute 'lower'
ERROR | 2024-03-07 18:13:06,566| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'NoneType' object has no attribute 'lower'
ERROR | 2024-03-07 18:13:55,044| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'NoneType' object has no attribute 'lower'
ERROR | 2024-03-07 18:33:21,382| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | 'str' object has no attribute 'capital'
ERROR | 2024-03-08 10:12:02,499| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: __call__ | line_no: 29 | Invalid URL.
ERROR | 2024-03-08 10:12:06,598| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: __call__ | line_no: 29 | Invalid URL.
ERROR | 2024-03-08 12:14:18,084| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | rest_framework/api.html
ERROR | 2024-03-08 12:50:41,788| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | The field 'username' was declared on serializer QuizEnrolmentSerializer, but has not been included in the 'fields' option.
ERROR | 2024-03-08 12:50:57,214| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | The field 'phoneNumber' was declared on serializer QuizEnrolmentSerializer, but has not been included in the 'fields' option.
ERROR | 2024-03-08 12:50:58,265| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | The field 'phoneNumber' was declared on serializer QuizEnrolmentSerializer, but has not been included in the 'fields' option.
ERROR | 2024-03-08 12:50:59,017| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | The field 'phoneNumber' was declared on serializer QuizEnrolmentSerializer, but has not been included in the 'fields' option.
ERROR | 2024-03-08 12:53:08,781| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | The field 'username' was declared on serializer QuizEnrolmentSerializer, but has not been included in the 'fields' option.
ERROR | 2024-03-08 12:58:19,106| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | The field 'phoneNumber' was declared on serializer QuizEnrolmentSerializer, but has not been included in the 'fields' option.
ERROR | 2024-03-08 13:04:47,896| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | '>' not supported between instances of 'QuerySet' and 'int'
ERROR | 2024-03-08 13:29:25,667| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | QuizEnrollment() got unexpected keyword arguments: 'staus'
ERROR | 2024-03-08 13:54:49,112| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | CharField.__init__() takes 1 positional argument but 2 were given
ERROR | 2024-03-08 13:56:27,574| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | CharField.__init__() takes 1 positional argument but 2 were given
ERROR | 2024-03-08 18:17:10,522| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | The field 'user' was declared on serializer QuizEnrolmentSerializer, but has not been included in the 'fields' option.
ERROR | 2024-03-08 18:17:12,289| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | The field 'user' was declared on serializer QuizEnrolmentSerializer, but has not been included in the 'fields' option.
ERROR | 2024-03-08 18:17:13,344| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | The field 'user' was declared on serializer QuizEnrolmentSerializer, but has not been included in the 'fields' option.
ERROR | 2024-03-08 18:17:14,284| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\utils\middleware.py | func: process_exception | line_no: 101 | The field 'user' was declared on serializer QuizEnrolmentSerializer, but has not been included in the 'fields' option.
